item_id,category,description,name,price
A84SY,"Arts, Crafts & Sewing",Set of 12,Oil Paints,90.24
QO90N,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Barbie,883.58
AXHYW,Sports & Outdoors,100% Synthetic,Basketball,637.50
EMTTB,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Mats,1952.97
7TCUA,Toys & Games,,Barbie,1365.36
YCIGI,Sports & Outdoors,,Sports Shoes,544.26
PYGY9,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Ipad,753.63
G21H1,Others,,Plants,708.59
H2FAR,Beauty & Personal Care,,Serum,646.90
RAJQE,Toys & Games,make a great gift for kids 3 to 7 years olds,Hot Wheels,7.30
AIDK9,Home & Kitchen,,Salad Spinner,177.62
BK7L2,"Arts, Crafts & Sewing",Set of 10,Oil Paints,1365.56
SRE2K,Office Products,,Sticky Notes,1696.77
5VRV4,"Clothing, Shoes & Jewelry",,Jeans,1454.59
PMG2K,"Arts, Crafts & Sewing",Set of 10,Canvas,680.24
RM9A7,Others,for everyday use,Notebook,1314.59
HJ2KC,Office Products,,Marker,311.79
MXHUI,Others,,Chair,995.30
EAOS9,Home & Kitchen,,Spoons,790.25
B5IW1,"Clothing, Shoes & Jewelry",Machine Wash,Tshirt,1440.76
HT3YM,"Clothing, Shoes & Jewelry",,Tshirt,1565.28
FSCOL,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Charger,1038.82
89FNW,Pet Supplies,For your lovely pet,Pet Grooming,990.59
SO2MN,"Arts, Crafts & Sewing",,Watercolor Pens,1295.36
5PBVE,"Arts, Crafts & Sewing",Set of 10,Watercolor Pens,220.39
F19QM,Others,for everyday use,Nail Paint,1653.34
I7SX0,Beauty & Personal Care,,Handwash,34.12
PIHPZ,Pet Supplies,For your lovely pet,Leash And Collar,152.81
OL11S,Pet Supplies,For your lovely pet,Pet Grooming,1599.58
63URO,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Jacket,62.57
N9LIS,Pet Supplies,,Leash And Collar,102.49
ELO0J,Toys & Games,,Barbie,1235.11
6FME6,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Jacket,1170.82
2YATM,Sports & Outdoors,Cushioning provides excellent shock absorption,Badminton Racket,1605.70
MM3PJ,Toys & Games,make a great gift for kids 3 to 7 years olds,Kite,1556.16
D7O6L,Toys & Games,make a great gift for kids 3 to 7 years olds,Barbie,1971.89
3BLQ4,Pet Supplies,For your lovely pet,Pet Bed,564.40
ZA7ZF,"Arts, Crafts & Sewing",,Watercolor Pens,358.94
7K20Z,Home & Kitchen,One of a kind stainless steel,Mats,587.10
HAPZ0,Office Products,,Pen,1905.17
L14C3,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Kite,1080.24
JD0UD,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Barbie,245.41
VD22L,Electronics,,Airpods,1043.12
MJMZ8,Pet Supplies,For your lovely pet,Water and Food Bowls,1680.76
TQEAU,"Clothing, Shoes & Jewelry",100% Cotton,Jeans,1704.27
0C6NK,"Clothing, Shoes & Jewelry",,Jacket,1668.44
YN00B,Sports & Outdoors,,Sports Shoes,1675.53
J4PNO,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Bath Soap,968.95
AOIBW,Beauty & Personal Care,,Handwash,922.31
2JBJM,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Hoodie,606.56
HAEFF,Others,,Nail Paint,419.70
ZHMK7,"Clothing, Shoes & Jewelry",100% Cotton,Necklace,1588.68
QBO0V,Toys & Games,make a great gift for kids 3 to 7 years olds,Kite,1976.38
VMGO3,Pet Supplies,,Pet Grooming,1727.20
G0T0N,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Hot Wheels,1658.20
JSDNR,Others,for everyday use,Nail Paint,224.50
8YFZ5,Electronics,,Laptop,1435.77
SC1QX,"Arts, Crafts & Sewing",Set of 10,Canvas,1999.19
YH03S,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Tshirt,256.55
O38OQ,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Bath Soap,1149.56
A0VN9,Sports & Outdoors,,Basketball,1055.12
U4CV5,"Arts, Crafts & Sewing",,Canvas,209.95
PKPEE,Pet Supplies,For your lovely pet,Leash And Collar,139.10
5B57Y,Toys & Games,,Barbie,620.63
YU4EP,Electronics,,Kindle,603.42
97CFO,Pet Supplies,,Leash And Collar,1432.49
8AMVX,"Arts, Crafts & Sewing",Set of 10,Canvas,1598.72
6X0RK,Office Products,For everyday office use,Pen,75.36
5LZMS,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Facewash,938.61
QMGD0,Electronics,【11th Gen Intel Core i5-1135G7】,Speaker,1347.48
3VLDC,"Arts, Crafts & Sewing",,Easel,1431.84
S9DYD,Office Products,For everyday office use,Marker,1529.49
9IVS9,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Serum,10.72
IBMNJ,"Arts, Crafts & Sewing",Set of 12,Canvas,494.88
WQKKO,Electronics,Reams of high-bandwidth DDR4 RAM,Ipad,1638.74
D0VN1,Pet Supplies,For your lovely pet,Leash And Collar,222.66
RL4GH,"Clothing, Shoes & Jewelry",100% Cotton,Jeans,1262.69
WSMPK,"Arts, Crafts & Sewing",Set of 10,Watercolor Pens,1143.98
0GK95,Others,,Plants,1037.15
ERP4W,Others,,Notebook,332.52
PTPYF,"Clothing, Shoes & Jewelry",Imported,Hoodie,1402.16
6A9WS,Pet Supplies,,Leash And Collar,1315.81
FDIJS,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Teddy Bear,1906.57
EHP5D,Toys & Games,make a great gift for kids 3 to 7 years olds,Barbie,1229.72
AKGF9,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Jeans,710.36
WODHB,"Arts, Crafts & Sewing",,Oil Paints,1940.90
VJCA9,Sports & Outdoors,100% Synthetic,Sports Shoes,1931.13
X4SF8,Pet Supplies,For your lovely pet,Leash And Collar,137.26
WFCZ6,Toys & Games,,Teddy Bear,1758.74
IEO1T,Office Products,,Pen,332.10
WZ4EF,Others,for everyday use,Lamp,788.60
G7824,"Clothing, Shoes & Jewelry",,Jacket,951.40
F190V,Home & Kitchen,,Salad Spinner,98.95
RUZTL,Pet Supplies,,Leash And Collar,734.91
52PKP,Beauty & Personal Care,,Serum,1882.73
6VGN3,"Clothing, Shoes & Jewelry",,Necklace,1702.35
JSRBX,Sports & Outdoors,,Basketball,351.15
TTXVM,Pet Supplies,,Pet Bed,767.59
C9UA3,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Bath Soap,628.20
NJEVC,Electronics,Reams of high-bandwidth DDR4 RAM,Ipad,1952.60
X44ON,Home & Kitchen,,Sauce Pots,1351.10
17TPD,Others,for everyday use,Plants,1400.25
OGCCT,"Arts, Crafts & Sewing",Set of 12,Easel,96.68
13535,Electronics,【11th Gen Intel Core i5-1135G7】,Speaker,1151.15
LJMY9,"Arts, Crafts & Sewing",,Curtains,353.72
UWQLE,Others,for everyday use,Nail Paint,1679.28
GCOC3,Beauty & Personal Care,,Handwash,460.37
COHXU,"Arts, Crafts & Sewing",Set of 10,Canvas,1232.84
LRAQC,Others,for everyday use,Chair,270.63
3LHR7,Pet Supplies,For your lovely pet,Leash And Collar,810.90
ZYGHY,Sports & Outdoors,,Sports Shoes,633.14
U4BJK,"Arts, Crafts & Sewing",Set of 12,Canvas,1031.27
N5KKG,Sports & Outdoors,Cushioning provides excellent shock absorption,Sports Shoes,1553.95
2QGSV,Sports & Outdoors,,Hat,673.74
504DR,Toys & Games,,Kite,1079.26
GUKJ5,Toys & Games,,Barbie,1184.34
TCYWW,Office Products,,Pencil,573.42
Y3XA9,Others,,Notebook,313.43
5PELH,Others,,Plants,1384.30
ADZWR,Pet Supplies,,Water and Food Bowls,867.88
K22M7,Others,,Nail Paint,30.62
UGN5G,"Arts, Crafts & Sewing",,Canvas,1598.49
LTQKL,Home & Kitchen,One of a kind stainless steel,Knives,285.35
NHG30,"Arts, Crafts & Sewing",,Canvas,400.66
KG6E5,Electronics,,Charger,788.81
JDX4F,Others,,Chair,1010.65
ENKHD,Others,,Nail Paint,365.88
YLA7I,Pet Supplies,For your lovely pet,Pet Grooming,131.28
VDNDG,Office Products,,Pen,611.67
8FU8N,Toys & Games,make a great gift for kids 3 to 7 years olds,Barbie,1866.60
FQXDS,Electronics,,Laptop Stand,517.48
N938N,Office Products,For everyday office use,Sticky Notes,1359.82
OXCW7,"Arts, Crafts & Sewing",,Canvas,574.96
POEEF,Others,,Plants,434.90
ANM9V,Sports & Outdoors,Cushioning provides excellent shock absorption,Hat,1742.58
8YBEL,Beauty & Personal Care,,Serum,519.76
THOFT,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Hot Wheels,742.42
VMDWA,Sports & Outdoors,,Badminton Racket,1179.86
9FRB4,"Clothing, Shoes & Jewelry",100% Cotton,Necklace,1036.62
V56WM,Pet Supplies,For your lovely pet,Pet Bed,1248.80
USL6I,"Arts, Crafts & Sewing",,Easel,1700.76
CW3VM,Beauty & Personal Care,,Handwash,91.52
RO1YJ,Others,,Nail Paint,1741.62
Q0QAB,Home & Kitchen,One of a kind stainless steel,Spoons,1521.15
BWOQ1,Office Products,For everyday office use,Marker,782.54
3U3ZL,Pet Supplies,For your lovely pet,Pet Bed,617.12
9A0R2,Others,for everyday use,Plants,1809.18
2K1SK,Electronics,【11th Gen Intel Core i5-1135G7】,Kindle,80.25
8T422,Electronics,【11th Gen Intel Core i5-1135G7】,Airpods,401.35
9XJ21,Beauty & Personal Care,Suitable for all skin types,Toothpaste,1419.56
9RUBB,Sports & Outdoors,,Hat,258.15
X9N5O,"Clothing, Shoes & Jewelry",,Boots,1698.75
GS39K,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Jacket,539.37
XW66M,"Clothing, Shoes & Jewelry",,Jeans,1403.79
QDIXQ,Others,,Plants,1843.63
A3FNT,Home & Kitchen,,Pans,1945.00
PUQHH,Beauty & Personal Care,,Toothpaste,1402.32
86Z22,Others,for everyday use,Nail Paint,760.94
C4G5P,Others,for everyday use,Lamp,239.13
C6RDI,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Facewash,1439.21
5512V,"Clothing, Shoes & Jewelry",,Jeans,1979.95
12OVC,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Sauce Pots,114.37
NQCU8,Beauty & Personal Care,Suitable for all skin types,Facewash,1976.42
GVJ87,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Serum,622.22
7FD3N,"Clothing, Shoes & Jewelry",100% Cotton,Rings,157.50
CGBJ6,Beauty & Personal Care,,Handwash,197.10
5JEEF,Office Products,,Pen,537.58
RZBJD,Electronics,Reams of high-bandwidth DDR4 RAM,Mobile,709.80
2XJT7,Beauty & Personal Care,,Handwash,1403.40
B5P6G,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Mats,1837.55
3QBH9,Pet Supplies,For your lovely pet,Leash And Collar,1248.93
9G4LA,Beauty & Personal Care,,Handwash,1776.28
WIXMY,Beauty & Personal Care,Suitable for all skin types,Serum,762.00
H68RY,Electronics,,Airpods,833.54
AMOP2,Toys & Games,,Hot Wheels,1787.90
WBZ9K,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Kite,1399.52
ASSXS,Beauty & Personal Care,Suitable for all skin types,Serum,914.30
6K54R,Office Products,For everyday office use,Paper Clips,46.83
BQFKL,Electronics,,Laptop,1575.80
THRRU,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Pans,848.65
XNHR2,"Clothing, Shoes & Jewelry",,Jeans,1726.17
P1R5X,"Arts, Crafts & Sewing",,Easel,943.56
X2J7P,Electronics,Reams of high-bandwidth DDR4 RAM,Ipad,1644.22
688YT,Office Products,For everyday office use,Sticky Notes,1651.27
J1DZW,Electronics,,Ipad,1126.37
9EU4G,Sports & Outdoors,Cushioning provides excellent shock absorption,Badminton Racket,292.53
Q8IWV,Pet Supplies,,Water and Food Bowls,354.17
I080C,Others,for everyday use,Nail Paint,1678.46
SHQJN,Pet Supplies,,Pet Bed,573.80
8XY4Z,Pet Supplies,For your lovely pet,Pet Bed,1450.10
FK5IY,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Charger,1946.84
Y4PCO,Office Products,,Sticky Notes,757.56
OSPT5,Sports & Outdoors,,Hat,1956.73
40K8N,Office Products,For everyday office use,Paper Clips,1640.54
K85RF,Home & Kitchen,,Pans,1418.30
0TMEN,Toys & Games,,Hot Wheels,1870.28
V2ZEU,Sports & Outdoors,,Basketball,1440.74
VOQO8,Others,for everyday use,Notebook,1415.78
UQI4C,Beauty & Personal Care,Suitable for all skin types,Facewash,426.36
JH956,Electronics,【11th Gen Intel Core i5-1135G7】,Speaker,1654.91
4LOD5,Others,,Lamp,1966.64
6LLPT,Beauty & Personal Care,,Serum,1815.58
1C4HF,Sports & Outdoors,,Badminton Racket,870.94
WLVJ0,Others,for everyday use,Notebook,764.94
MVOQO,Pet Supplies,,Water and Food Bowls,1672.76
HZY77,Pet Supplies,,Pet Bed,460.75
NAQMH,Electronics,,Speaker,550.80
H3AP5,"Clothing, Shoes & Jewelry",,Jeans,1421.15
AZOF3,Toys & Games,,Teddy Bear,260.68
SBTS3,Pet Supplies,For your lovely pet,Pet Grooming,245.60
K4I4E,Others,,Nail Paint,1883.23
W8DQK,Electronics,Reams of high-bandwidth DDR4 RAM,Mobile,479.59
BNQ1W,Others,,Plants,613.84
5ER1F,Pet Supplies,,Water and Food Bowls,911.76
STRHR,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Bath Soap,170.60
F5DE2,Beauty & Personal Care,,Toothpaste,1691.70
SLMRC,Office Products,,Pencil,1974.42
SLGWH,Beauty & Personal Care,,Handwash,966.93
4CNE6,Home & Kitchen,,Knives,1711.16
EDDNH,Toys & Games,,Hot Wheels,1815.20
6VUTG,"Arts, Crafts & Sewing",Set of 12,Watercolor Pens,1686.75
MSWP6,Toys & Games,make a great gift for kids 3 to 7 years olds,Hot Wheels,27.47
Q92TT,"Clothing, Shoes & Jewelry",,Hoodie,617.16
6ESUH,Pet Supplies,For your lovely pet,Pet Bed,75.16
BPVJG,"Clothing, Shoes & Jewelry",Machine Wash,Hoodie,459.98
RGD8Z,Home & Kitchen,,Mats,1001.68
WL4TA,Sports & Outdoors,Cushioning provides excellent shock absorption,Hat,1159.16
HJ9SU,Beauty & Personal Care,Suitable for all skin types,Toothpaste,1808.49
IUVHV,Sports & Outdoors,Cushioning provides excellent shock absorption,Basketball,1745.24
BLDW8,Sports & Outdoors,,Hat,1904.75
JCEVH,Pet Supplies,For your lovely pet,Pet Grooming,1262.99
9P9M7,Beauty & Personal Care,,Toothpaste,454.46
YCMC6,Others,,Chair,1871.20
4NYOK,"Arts, Crafts & Sewing",Set of 10,Paint Brushes,375.92
P3QXU,Sports & Outdoors,100% Synthetic,Badminton Racket,1543.15
KZLD4,Beauty & Personal Care,,Facewash,1544.92
A4HOL,Toys & Games,make a great gift for kids 3 to 7 years olds,Teddy Bear,1509.81
GQIKI,Home & Kitchen,,Salad Spinner,117.30
XR5EO,Electronics,【11th Gen Intel Core i5-1135G7】,Charger,1318.90
IA2E6,Office Products,For everyday office use,Marker,1873.60
60IJG,Office Products,,Pen,1769.40
LENYA,"Clothing, Shoes & Jewelry",,Jeans,584.16
QVT8S,Home & Kitchen,,Spoons,1050.00
6IHX7,Office Products,For everyday office use,Sticky Notes,205.13
G2W79,Electronics,【11th Gen Intel Core i5-1135G7】,Airpods,730.90
Y7Q5S,Office Products,,Paper Clips,571.36
ELW3Y,Beauty & Personal Care,,Bath Soap,617.54
DEAQN,Beauty & Personal Care,,Serum,1971.29
QZ6SL,Sports & Outdoors,,Basketball,294.69
YG2RK,Others,,Nail Paint,1365.31
D1HQT,Office Products,For everyday office use,Paper Clips,1446.70
1Z8RF,Pet Supplies,For your lovely pet,Pet Grooming,962.52
ESXRJ,"Arts, Crafts & Sewing",,Canvas,291.17
6GVOA,Sports & Outdoors,,Sports Shoes,1794.93
NBAWW,Office Products,,Sticky Notes,693.60
D1RXA,Home & Kitchen,,Can Opener,892.87
UFANH,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Pans,1448.90
XPPW4,"Arts, Crafts & Sewing",,Curtains,805.53
FQW7M,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Boots,165.27
EAG17,Toys & Games,,Kite,1932.34
F4D56,"Clothing, Shoes & Jewelry",Imported,Jacket,885.79
NTMPD,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Mobile,1824.35
4UCTZ,"Clothing, Shoes & Jewelry",,Tshirt,1654.40
HX2ZN,Pet Supplies,,Leash And Collar,745.40
QCGTB,"Clothing, Shoes & Jewelry",Machine Wash,Jeans,1559.22
IKYE9,Electronics,,Speaker,1707.61
QXD9L,Home & Kitchen,,Knives,1152.17
XZAM2,Others,for everyday use,Lamp,95.39
KWVWU,Home & Kitchen,,Spoons,695.39
TEXWX,Pet Supplies,For your lovely pet,Pet Bed,195.58
GOZA3,"Clothing, Shoes & Jewelry",,Tshirt,1656.39
ZN492,"Arts, Crafts & Sewing",,Easel,1796.63
C18NM,"Clothing, Shoes & Jewelry",100% Cotton,Jacket,733.40
QHVVP,Toys & Games,,Teddy Bear,185.92
PKWUF,"Clothing, Shoes & Jewelry",,Rings,92.79
MFVQT,Pet Supplies,For your lovely pet,Pet Grooming,53.81
43PAF,Office Products,,Pencil,190.27
RVWIF,Electronics,,Mobile,788.37
I0BII,Toys & Games,,Teddy Bear,422.63
6FXDT,Pet Supplies,,Water and Food Bowls,433.82
BG2CK,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Boots,1072.17
DSFUG,Pet Supplies,For your lovely pet,Pet Grooming,364.14
BU6RF,Toys & Games,make a great gift for kids 3 to 7 years olds,Barbie,421.65
QSW40,Others,for everyday use,Plants,1669.92
SUWI1,Others,,Chair,429.90
BLZLD,Sports & Outdoors,Cushioning provides excellent shock absorption,Hat,1570.46
S1TQ8,Sports & Outdoors,Cushioning provides excellent shock absorption,Badminton Racket,87.99
C5B8B,Office Products,For everyday office use,Marker,1938.78
M3G6N,Electronics,,Charger,1884.84
U5GKQ,Electronics,,Airpods,1867.79
A4D5Z,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Sauce Pots,1452.64
SEC6B,Sports & Outdoors,Cushioning provides excellent shock absorption,Basketball,1845.51
WMTTJ,Others,,Plants,214.38
HSIYF,Home & Kitchen,,Salad Spinner,1648.50
8T4O7,Sports & Outdoors,,Basketball,1454.76
QSS67,Electronics,,Charger,710.74
EHTYD,Office Products,For everyday office use,Pencil,1436.25
NNO30,Pet Supplies,For your lovely pet,Water and Food Bowls,115.33
LVI0R,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Hot Wheels,1585.63
7CJBH,Toys & Games,,Teddy Bear,1729.26
86KTH,Office Products,,Sticky Notes,720.93
CNA1P,"Clothing, Shoes & Jewelry",,Jacket,974.51
YFAT8,Toys & Games,make a great gift for kids 3 to 7 years olds,Kite,300.97
H7SGT,"Arts, Crafts & Sewing",,Oil Paints,1844.56
ZUE2K,Others,for everyday use,Plants,918.33
12BCK,Sports & Outdoors,100% Synthetic,Sports Shoes,1768.77
YO75C,"Clothing, Shoes & Jewelry",,Jeans,128.23
IZQ4T,Electronics,【11th Gen Intel Core i5-1135G7】,Kindle,1336.81
OOZBP,Pet Supplies,,Pet Grooming,1618.80
GOLS1,"Arts, Crafts & Sewing",,Easel,1848.28
CIK9X,Sports & Outdoors,100% Synthetic,Sports Shoes,131.16
2R5O4,Sports & Outdoors,100% Synthetic,Badminton Racket,1344.28
YABH5,Beauty & Personal Care,,Facewash,1747.18
JN7RJ,"Arts, Crafts & Sewing",,Oil Paints,1239.89
T7ZIJ,Toys & Games,make a great gift for kids 3 to 7 years olds,Teddy Bear,684.10
1V84A,Toys & Games,,Kite,286.52
KHO60,Pet Supplies,,Leash And Collar,1346.30
6J9A9,Beauty & Personal Care,,Bath Soap,985.21
WJ6W6,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Kite,1417.51
BRGOP,Sports & Outdoors,,Hat,128.56
ZDJ5J,Others,,Chair,1981.26
8KZOP,Toys & Games,make a great gift for kids 3 to 7 years olds,Hot Wheels,217.70
KR12D,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Mats,1865.60
8IZGV,Electronics,Reams of high-bandwidth DDR4 RAM,Laptop Stand,324.29
PWB53,Home & Kitchen,One of a kind stainless steel,Mats,760.43
MGYBC,"Clothing, Shoes & Jewelry",Machine Wash,Hoodie,1198.33
ZQSTY,Office Products,For everyday office use,Marker,261.79
BVIS4,Electronics,,Ipad,1506.10
WHP6R,Pet Supplies,For your lovely pet,Pet Bed,376.88
N2LC5,Toys & Games,,Hot Wheels,1024.87
7XXH9,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Spoons,564.37
91ZAU,Pet Supplies,For your lovely pet,Pet Bed,1124.99
PBXNQ,"Arts, Crafts & Sewing",,Oil Paints,1754.71
7ND8K,Electronics,【11th Gen Intel Core i5-1135G7】,Ipad,636.54
IW0J0,Toys & Games,make a great gift for kids 3 to 7 years olds,Teddy Bear,1364.92
CPTF5,"Arts, Crafts & Sewing",Set of 12,Watercolor Pens,227.37
QA9T9,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Pans,1679.81
C6GRH,"Clothing, Shoes & Jewelry",100% Cotton,Boots,955.30
817ZQ,Home & Kitchen,,Salad Spinner,18.94
MXG2J,"Clothing, Shoes & Jewelry",,Jeans,427.97
NO7E9,"Arts, Crafts & Sewing",,Watercolor Pens,101.84
