buyer_id,seller_id,delivery,pricing,quality,rating_date
P6VUR,YFIBA,3,1,3,2022-10-05
42LPG,N169E,4,5,,2022-10-18
6BAHN,U4K0S,,3,,2022-09-10
6BAHN,SNR6X,,,,2022-02-01
NEDMB,5JJX3,,,,2022-08-19
NEI16,A8U7K,,,,2022-04-03
VUIFU,RJWPA,,3,1,2022-06-24
6VLT3,7B5PR,,2,,2022-06-12
6VLT3,7WHJR,,2,3,2022-10-27
7ISAX,J5PAC,,,,2022-03-06
Q4PTS,M2HT6,,4,5,2022-01-25
KM0EY,9R01Y,,,,2022-03-03
KM0EY,M63IT,,1,,2022-06-23
GVRV3,ZB7CT,,2,5,2022-07-24
VDU8D,6EBHW,,,,2022-08-23
VDU8D,0RNM3,,4,5,2022-10-21
VDU8D,Z0LJU,,,1,2022-01-01
DR99N,L6USX,4,4,,2022-07-12
9YSA1,426K8,3,5,,2022-03-15
9CX7X,IBCNI,,,,2022-02-20
9CX7X,NUPCW,,5,3,2022-01-06
HVYPZ,WPI4A,,,4,2022-06-12
HVYPZ,EXO6D,,3,,2022-05-03
SNKBL,C78AR,,3,,2022-10-21
SNKBL,KV5S9,1,,1,2022-01-01
GKKI8,4VDK3,4,1,,2022-09-20
GKKI8,PINBW,2,,,2022-08-26
3JKX9,QCIEZ,,1,4,2022-04-28
3JKX9,LJNGC,,4,,2022-04-19
3JKX9,LHRYU,,4,,2022-09-25
BMK8A,CYGAE,,,,2022-02-08
GWS4Y,CYGAE,5,3,,2022-06-25
DIVWB,4OUJ8,,,2,2022-04-10
4DMZ0,JWXSS,,,,2022-09-11
4DMZ0,8HSSP,,,,2022-09-10
AYMCG,8MZDC,2,3,4,2022-09-08
AYMCG,8AOIB,1,,3,2022-05-15
AYMCG,WHC3M,,,1,2022-02-14
VLADK,CXDQI,,,3,2022-03-01
VLADK,BKW17,2,2,,2022-01-08
9CDZ6,Q17SE,,1,,2022-01-17
9CDZ6,LBHMK,2,,,2022-01-16
9CDZ6,A8U7K,,5,3,2022-03-21
VO9HI,L6USX,2,3,3,2022-09-22
VO9HI,FWB4W,,,,2022-08-05
4N2BL,MJUC1,2,1,1,2022-05-23
KWXKL,Q24R1,,1,,2022-01-17
KWXKL,QQB6Q,,4,,2022-10-18
YTQBP,1WI5Q,5,,,2022-08-24
ROX80,N169E,,,,2022-10-04
NI81W,Q1X68,3,5,,2022-09-06
NI81W,87CKX,,4,1,2022-05-25
K7BSE,4FD3N,,,,2022-07-28
K7BSE,JCCF8,,,,2022-03-11
K7BSE,3RNZG,,4,,2022-03-22
89PH1,5JJX3,3,1,,2022-04-24
8SECR,BJLLH,2,,4,2022-01-04
8SECR,GVYOF,,3,,2022-02-23
8SECR,UFNUW,,1,,2022-02-28
OCYY1,WH1ZH,,4,,2022-04-16
OCYY1,1H9CX,2,,,2022-05-10
VGVF8,K3MXR,4,,,2022-02-06
KLLWU,231ZN,2,,,2022-08-29
19AOW,NJYKN,,2,5,2022-01-17
19AOW,N7TIV,,3,,2022-03-05
A6VKI,R5OOD,1,3,,2022-05-21
UWS65,KGD5Z,,,4,2022-04-04
806KP,P35EW,4,1,1,2022-01-19
806KP,PRBZA,,,,2022-03-11
IYR3G,L4VJ1,,,,2022-07-23
IYR3G,ZVZGY,4,,,2022-10-10
IYR3G,1E2BT,,,3,2022-01-28
4AJIZ,HYR8F,1,5,3,2022-04-27
D8QFI,L4VJ1,2,,1,2022-08-06
FKLYG,CCMQG,2,2,,2022-07-04
BU7CW,RLY94,5,3,,2022-02-18
FPXIF,HH8AJ,2,3,1,2022-07-13
VYCQV,7TOUB,4,3,,2022-04-28
LLZ6O,7WHJR,4,,,2022-10-13
LLZ6O,4CXZQ,,,,2022-03-02
66PSO,OZBPO,,3,,2022-09-01
66PSO,3FLK5,,,4,2022-08-08
LRD1B,MJUC1,5,,5,2022-09-06
010JB,8RY42,,3,2,2022-01-26
010JB,Q9QW3,,,4,2022-03-18
HRDSY,L3VKI,3,1,,2022-06-02
HRDSY,JH82V,,4,,2022-08-05
I4UAO,ZST93,,,,2022-08-16
I4UAO,BSJMW,,,,2022-09-21
XYGE7,RVZRR,,3,,2022-02-02
B75QF,1WI5Q,,,1,2022-03-27
L6WTT,R2YNB,,,,2022-08-16
5EO9W,O9NN6,4,4,,2022-03-16
5EO9W,8RY42,3,,,2022-02-14
7BLST,UDZHR,2,,,2022-09-30
IHKYE,J5PAC,,,,2022-10-20
YK2FC,SFE8H,,,2,2022-09-20
YK2FC,A5WQ0,4,2,1,2022-02-16
DCPZS,KR138,,,,2022-07-13
1KW1Z,U3D5E,4,1,,2022-03-22
1KW1Z,5PQAC,,,,2022-01-17
3OZAF,GVYOF,,,,2022-08-31
3OZAF,GV6M6,1,,4,2022-02-26
CS52N,YRL14,1,,3,2022-02-10
CS52N,RBL4D,3,,3,2022-06-28
26AJ1,GV6M6,,,,2022-05-21
1N21A,0ZJZT,,,1,2022-02-10
WWWUR,FUAY0,2,5,,2022-02-27
WWWUR,WJRLZ,,2,,2022-08-07
W8R0N,JEEP3,3,,1,2022-06-07
W8R0N,KR138,1,,,2022-09-22
ZIKWD,CUVCD,2,3,,2022-07-22
ZIKWD,V5MBV,,,,2022-07-12
Q273R,TH5WQ,2,5,,2022-07-13
WXB0W,TH583,,,,2022-07-13
WXB0W,3QPJE,5,2,4,2022-09-04
E8IE5,K3MXR,5,,,2022-03-20
E8IE5,CUVCD,3,,3,2022-08-25
YE9Y0,E189I,5,,4,2022-03-26
YE9Y0,D73LI,,,,2022-01-04
HLC2X,IBCNI,,,,2022-10-02
0PI7Y,GLVQG,,,,2022-05-05
0PI7Y,H7FKP,4,4,1,2022-01-14
9GVYW,7IVK8,,,2,2022-02-27
W2TUF,MK3V5,,,,2022-03-02
W2TUF,JCA8Q,,,5,2022-05-28
NQ3MK,QN99Y,,,3,2022-10-06
XEKDS,RVZRR,,3,,2022-07-02
XEKDS,6PA04,2,,,2022-01-26
XEKDS,OPGY0,,1,,2022-02-02
ISY5F,IP7TK,3,,4,2022-07-20
ISY5F,A8U7K,,,,2022-01-26
CXKB1,85TQL,,4,,2022-02-20
CXKB1,DW4SG,,,2,2022-01-16
HGY3Q,67EYU,1,1,1,2022-01-06
HGY3Q,08KUN,,,,2022-10-22
7DTDQ,1E2BT,,,,2022-05-09
7DTDQ,87CKX,2,4,,2022-03-04
TABM6,NL2WY,2,,1,2022-06-28
MEID7,87BU7,,1,,2022-05-25
MEID7,NBQEK,,1,,2022-07-16
REXP7,3QPJE,,,,2022-02-05
REXP7,3K1ND,,5,,2022-09-21
RGJQ2,RLY94,4,,,2022-07-21
RGJQ2,XWXLZ,,,3,2022-10-22
NXRXT,ZVZGY,3,2,5,2022-01-30
5ON83,HFAMO,,,,2022-10-21
5ON83,A5WQ0,,,2,2022-04-23
190M0,19J34,,,1,2022-07-07
FDXK3,RLY94,,,,2022-08-16
FDXK3,GZ97S,2,1,3,2022-04-01
FDXK3,NW0RD,1,,,2022-01-08
K9XM5,DPGAP,,4,,2022-09-13
K9XM5,92I2Y,,,,2022-01-01
R5O4G,AWFGJ,,,2,2022-04-28
R5O4G,OFOQB,,2,2,2022-07-16
O343K,X342E,,,3,2022-01-26
O343K,12TJH,,,,2022-04-12
AQQLE,7T5MJ,,,5,2022-04-28
AQQLE,OTAU7,,5,,2022-10-28
AQQLE,D7CK2,,,,2022-06-08
EFHUG,L6USX,,,,2022-05-30
EFHUG,G2W79,4,,,2022-05-30
EFHUG,ZVZGY,4,,5,2022-01-25
M9679,5H4D3,3,,1,2022-03-05
M9679,VW8H6,1,,4,2022-09-06
M9679,DZC76,,,,2022-02-19
W0J0T,Z6UIX,,1,1,2022-04-03
W0J0T,OE791,,,,2022-04-22
W0J0T,PCL39,1,3,1,2022-10-11
15H0W,NW0RD,,5,,2022-07-11
15H0W,9FJ8S,,,3,2022-08-22
15H0W,AP5ZX,,,,2022-10-06
GX3I6,I8U4Z,,1,,2022-06-09
34E4O,AZB2M,1,,,2022-08-26
34E4O,77KUY,,,,2022-07-01
STNED,K99E6,,2,4,2022-06-28
STNED,SHKRM,1,1,,2022-01-19
ZN52C,BJLLH,5,,1,2022-02-28
GICLW,0ZJZT,,,,2022-01-13
YCMO9,GZ97S,,3,,2022-09-02
6VZZH,CAFPE,,1,,2022-02-10
YTQK8,HQSNA,1,,,2022-05-29
7456D,UADIT,,5,5,2022-02-13
7456D,231ZN,,,,2022-01-24
7456D,0HC1E,1,,,2022-08-25
K8DRJ,3FKG7,,,2,2022-07-01
K8DRJ,29003,,1,1,2022-08-27
24T1N,MRY5A,,1,1,2022-09-03
24T1N,YA5CE,,4,,2022-05-12
QWNFA,7E9AJ,,,,2022-02-18
S1Z1R,BV5DO,1,,,2022-08-30
S1Z1R,SNR6X,,,4,2022-04-26
S1Z1R,FCQGQ,,1,4,2022-02-19
70QQ7,6GSGP,1,3,2,2022-05-31
70QQ7,QR19G,3,,,2022-04-25
70QQ7,C0UHU,2,,1,2022-10-17
PQ9TN,EXO6D,,,,2022-09-22
PQ9TN,YRTVH,5,,3,2022-07-21
61BIL,8RY42,5,,3,2022-03-15
61BIL,CXDQI,,,,2022-06-02
C14OD,BF3QQ,5,3,,2022-06-22
C14OD,FFBXJ,,,1,2022-05-25
C14OD,ZVZGY,,,4,2022-10-21
7Q7LI,R7K4O,5,,,2022-05-19
QFDCE,PB6Z6,,3,4,2022-09-03
DQZ31,F1I7H,2,,,2022-04-10
ENAL5,0C7T4,,,,2022-01-11
ENAL5,OFOQB,,,,2022-07-21
GGRDK,E9K7C,,,,2022-08-10
ZFFG4,G6G4D,,1,,2022-03-31
ZFFG4,NW0RD,3,4,,2022-02-06
ZFFG4,LC3OK,1,,,2022-09-01
VM6YE,DGX8H,,,,2022-07-16
K2SW4,XMWLA,,,,2022-02-14
K2SW4,OFOQB,,4,4,2022-06-15
BU4WM,08WHX,,,3,2022-08-08
BU4WM,Q9QW3,,,,2022-06-13
BU4WM,KV5S9,,,,2022-02-02
HU76U,7B5PR,,,,2022-02-10
HU76U,P8DKB,4,,,2022-06-11
HU76U,P1ZUA,,,2,2022-01-25
ZK18A,FFZPQ,,3,3,2022-02-08
ZK18A,7IVK8,,,,2022-06-11
3B74Z,XZJXD,1,,,2022-10-13
3B74Z,PINBW,,,,2022-01-12
5E55S,PRBZA,2,,,2022-06-23
5E55S,EJ2DW,,,,2022-06-17
D2Q3L,ZXBS8,,3,4,2022-06-11
D2Q3L,GV6M6,,,,2022-01-12
G8JAV,HFAMO,,2,,2022-04-09
A62GD,QX1AY,,5,4,2022-01-31
A62GD,C9XKL,,,,2022-05-17
A62GD,4MSI6,,1,2,2022-01-28
HH5L2,FRH4L,,,3,2022-02-17
F22MY,HVJUT,,,,2022-03-11
F22MY,N3780,4,,,2022-01-04
F22MY,0ZJZT,5,,,2022-03-31
7AP3F,EJ2DW,,1,2,2022-08-20
LBZKA,4MSI6,,,1,2022-09-13
T4GB1,O8YYV,,,5,2022-10-12
T4GB1,22VQ9,,,1,2022-10-18
4VAZ0,KVJNB,,,,2022-04-24
4VAZ0,1MXH9,,,1,2022-05-24
DRUJF,4DGUK,2,,,2022-08-23
9USEK,3KCY4,,,,2022-04-01
A84FX,8Q3XK,,,,2022-06-26
A84FX,Q1X68,,,5,2022-02-13
A84FX,QQB6Q,5,,,2022-07-05
EYUAB,85TQL,,1,5,2022-05-14
EYUAB,V20LN,1,,,2022-10-02
EYUAB,DNCLE,,,3,2022-04-11
APWNU,0YU61,,,,2022-01-11
APWNU,CZOIF,,5,,2022-03-22
OCO0L,A7G8C,3,,,2022-05-21
OCO0L,PBHFC,,,5,2022-05-11
9VJ3R,UVBIT,,5,,2022-04-24
9VJ3R,AZB2M,,,1,2022-08-03
7FBX2,CJZRT,,,2,2022-09-04
7FBX2,GQM6L,,,1,2022-03-13
M5IPY,BV5DO,,,2,2022-08-19
M5IPY,UEAU3,2,3,,2022-02-01
BEM0O,NJYKN,,2,1,2022-07-27
BEM0O,8HSSP,,,,2022-08-14
DTEM6,MABWW,,4,,2022-03-02
JRWX3,HGTUB,,,4,2022-04-02
9BCRK,3FLK5,,,1,2022-10-21
WJDVP,CZOIF,,,2,2022-05-25
WJDVP,UFNZK,,1,3,2022-06-13
WJDVP,O8YYV,2,5,,2022-09-15
C52MZ,87BU7,,,1,2022-02-21
80VSH,GV6M6,,3,2,2022-01-08
80VSH,QXXKB,,,,2022-01-31
XVPN2,51WHM,,,1,2022-09-30
XVPN2,K3VTH,,,,2022-01-29
MI92E,X7OBY,,,2,2022-06-13
MI92E,K52E6,,,3,2022-08-02
LVMLU,WDR82,,,4,2022-10-15
LVMLU,ARWEB,4,3,4,2022-02-25
QYX12,8RY42,,,,2022-06-13
QYX12,IJ61L,,,,2022-04-26
5GJ8O,0V5C9,5,,1,2022-04-07
5GJ8O,SAZF9,,,,2022-06-22
5GJ8O,4Z5VC,,,,2022-09-03
0HQSK,VJL5E,,,,2022-05-24
P2JJF,TT1MJ,5,5,1,2022-01-23
P2JJF,NCDRU,,,5,2022-05-27
VUERN,ZST93,2,3,,2022-01-04
C99EN,L20JI,,3,,2022-05-05
6MX7E,142WW,2,,,2022-04-24
4VU99,DDZV9,4,,,2022-02-05
4VU99,UBB1Y,4,3,,2022-02-12
OHP5L,UOQ2K,4,,,2022-04-18
OHP5L,BSJMW,,1,,2022-02-13
T5EH5,DRNO4,,,4,2022-09-25
687EJ,NUPCW,5,2,,2022-09-30
687EJ,AWXDQ,4,4,,2022-06-23
9SZLC,EXO6D,,5,2,2022-06-13
ZJQJP,V5MBV,,,5,2022-06-17
ZJQJP,HVJUT,,2,,2022-03-09
U9VSQ,JEEP3,4,,,2022-05-13
IZ1CH,4L0BA,,,,2022-02-25
IZ1CH,X9W2Z,,,4,2022-06-29
0HCHB,U98HN,,,3,2022-09-05
7CV6O,E9K7C,,,2,2022-04-25
7CV6O,WJRLZ,4,3,4,2022-09-29
L8DWW,IBCNI,,1,3,2022-06-24
L8DWW,6K1RV,,3,,2022-06-29
4B7RT,YAK94,5,2,,2022-03-26
Y4LRQ,A5WQ0,5,,2,2022-09-02
F7QHM,IUWG8,5,,2,2022-04-27
F7QHM,L8LC6,,3,,2022-08-25
EDFVE,9X7GU,,,,2022-03-02
EDFVE,CJZRT,,5,,2022-06-14
Y7O7D,QWAWV,2,,,2022-10-19
Y7O7D,CXDQI,1,1,3,2022-07-03
8WQ8N,HQF90,,4,,2022-07-13
8WQ8N,SB3L6,,2,,2022-10-23
5WONO,62876,,,,2022-07-31
5WONO,C8HL5,4,4,4,2022-10-23
PHLBY,PV7VX,4,,5,2022-09-03
DAN4S,Z0LJU,,,,2022-01-09
5CMBO,7H518,,,,2022-09-17
P8OWW,AZB2M,,,2,2022-04-10
P8OWW,0C7T4,,,,2022-06-04
H2F1B,PRF6N,,5,,2022-10-03
H2F1B,Y1GW1,4,,4,2022-06-03
K1BOW,HSQAJ,2,,,2022-06-22
K1BOW,NKKLD,,,1,2022-02-09
K1BOW,WHC3M,,4,3,2022-10-17
F1N7U,PV7VX,,5,4,2022-04-09
F1N7U,FWB4W,,,,2022-04-21
717PI,JY3X4,5,,4,2022-10-21
SSLG9,C9PS9,,,4,2022-08-20
SSLG9,86J10,,3,,2022-02-03
SSLG9,WHC3M,2,,5,2022-01-14
6YV2J,P9Q6Y,,,5,2022-01-28
6YV2J,3I68A,4,3,,2022-04-12
6YV2J,20AR2,,,1,2022-04-29
32TH1,O83AN,,1,1,2022-02-15
R5WAU,0Z2LJ,,,2,2022-04-07
TIIZ7,QXXKB,4,4,,2022-04-20
78CNR,JUDOH,,,,2022-02-22
78CNR,3O35F,1,3,,2022-07-23
Y1C7D,P1ZUA,,,,2022-02-10
Y1C7D,1WI5Q,,3,,2022-06-09
Y1C7D,X9W2Z,,,,2022-09-04
4P2MC,3O35F,,1,2,2022-10-15
YRNCX,1VT3O,1,3,4,2022-04-19
TI3XK,87CKX,,4,4,2022-05-25
T7C4Q,LC3OK,4,,,2022-02-23
T7C4Q,R7K4O,,,,2022-02-17
DKV6T,4Z5VC,4,,,2022-02-16
1ZSRG,5XI94,2,5,4,2022-06-05
0PAO8,JQY1C,,,,2022-09-03
6GV6U,LBHMK,3,,,2022-10-16
QQV3F,JEEP3,,1,,2022-07-09
WIIXC,DW4SG,3,4,4,2022-09-27
WIIXC,AWFGJ,2,,1,2022-05-04
H40RU,JWXSS,3,,4,2022-04-27
ZZO7Y,G6G4D,,4,4,2022-01-21
57F8O,X1CL7,4,3,,2022-03-25
JPPSA,GPJ8L,,2,,2022-05-19
M8Q98,NW0RD,,2,5,2022-02-01
M8Q98,8F6ZS,,,,2022-09-24
OJVOT,6EBHW,,,3,2022-06-03
4PPY5,GLVQG,,,,2022-05-21
4PPY5,P8DKB,3,,,2022-01-16
7S3SE,JCCF8,,,,2022-02-15
1IV1D,V5MBV,,4,,2022-09-06
O8S8R,SFE8H,,4,3,2022-03-30
F5HG5,K3VTH,,1,4,2022-10-19
4H3EB,CTMHY,,,,2022-04-22
4H3EB,6P3VN,3,,5,2022-03-16
4H3EB,CUVCD,3,,4,2022-02-10
N8X6I,AU687,,,1,2022-06-18
D7QXD,8RY42,4,4,,2022-05-09
D7QXD,PBHFC,1,,,2022-03-07
OPCE8,P1ZUA,,2,4,2022-05-09
OPCE8,8Q3XK,,1,5,2022-06-13
F4OTA,SGSRE,,,,2022-06-19
F4OTA,JCCF8,5,4,,2022-02-27
IR55S,NQP88,1,,,2022-02-27
DUI40,6NS86,,,,2022-02-20
UBVEC,UDZHR,2,2,,2022-06-22
KH2MK,UBB1Y,,,2,2022-05-16
KH2MK,YRL14,,1,,2022-06-15
1DDCA,BK9EY,,1,,2022-03-27
1DDCA,6WQ8P,,,3,2022-06-20
U683A,QTM9A,,,3,2022-10-03
V25AJ,8Q3XK,,,,2022-05-31
2C3O9,QCIEZ,1,,,2022-04-01
V2DG5,CGC2X,5,,,2022-03-14
5UUSW,4DGUK,,1,1,2022-09-05
9ACJU,F5WTM,3,,1,2022-03-09
9ACJU,F98VS,1,5,,2022-04-01
WKUSR,GKTCF,,4,2,2022-08-26
WKUSR,7VWUB,1,,3,2022-02-03
8WZ67,FQUO1,,2,5,2022-07-18
8WZ67,RSBL9,,2,5,2022-10-19
5WEF0,FUR3X,1,2,,2022-10-27
5WEF0,FCQGQ,5,,5,2022-05-18
LF75W,ZB7CT,1,,,2022-09-28
6M648,X7OBY,1,,,2022-09-09
X7ALH,0YU61,,,5,2022-10-13
X7ALH,RSBL9,4,1,1,2022-06-17
XZY37,YFIBA,3,5,2,2022-07-10
BFLOJ,3KFLS,,,,2022-04-14
BFLOJ,AWXDQ,,2,3,2022-01-17
AN1KX,2LVZE,,4,3,2022-01-21
AN1KX,4OUJ8,,1,,2022-03-05
LF6XC,V1RZB,,,,2022-01-02
ZMEIK,449OC,1,5,,2022-01-03
U6NSE,BSJMW,5,1,2,2022-06-16
U6NSE,0HC1E,3,3,,2022-09-22
GU3PP,Y2ZFL,1,3,,2022-03-28
GU3PP,6IPKS,,5,5,2022-08-25
IEHMO,NKNLM,,1,,2022-03-27
IEHMO,P1ZUA,2,5,2,2022-06-26
SJ5HD,3S3MN,5,1,,2022-02-09
SJ5HD,4DGUK,,1,,2022-08-24
1LDDF,XMWLA,,,2,2022-05-04
53DXQ,7W8YE,,,1,2022-06-26
53DXQ,CTMHY,5,,,2022-05-07
LTYJ8,Y1GW1,1,1,,2022-01-12
LTYJ8,N169E,2,,5,2022-07-22
O7JHA,8AOIB,,,,2022-05-24
O7JHA,GJK7R,,,,2022-02-01
MV8IE,MRY5A,,2,3,2022-07-23
T0LJV,Q24R1,,4,,2022-03-14
T0LJV,05M7F,,,1,2022-03-20
MHYZN,Z6UIX,,,,2022-10-11
MHYZN,DDZV9,5,,,2022-10-13
3VFQ2,CA1H1,,2,3,2022-07-20
FXJW9,G6G4D,,,5,2022-05-30
S711S,RSBL9,2,4,,2022-10-04
S711S,9CK79,,2,1,2022-04-04
1M3VQ,O0KP9,1,,,2022-01-18
1M3VQ,FUS1Y,1,,3,2022-04-29
4Y2ZV,U98HN,3,,5,2022-01-29
4Y2ZV,36SYH,,,,2022-01-04
FGGVY,NUPCW,,,1,2022-10-09
7YD44,U98HN,,,5,2022-01-19
UJG56,EGA3T,,1,4,2022-06-28
119G3,6EBHW,,5,,2022-02-03
628RH,3FLK5,,5,1,2022-02-08
628RH,UEAU3,,,,2022-10-25
WD4V4,FXVJ8,,,,2022-06-21
SADYP,NW0RD,,3,,2022-08-26
SADYP,UEVYS,,2,4,2022-01-30
SADYP,0ZJZT,,1,,2022-06-15
BYODB,WHC3M,,,,2022-08-06
BYODB,K3MXR,1,,,2022-10-21
BYODB,A5WQ0,,,3,2022-06-03
UUWSJ,4GR4S,,,1,2022-04-07
DOC7B,ZVZGY,,5,,2022-04-19
DOC7B,NUPCW,,,,2022-05-17
GTZX8,KR138,,1,,2022-06-18
GTZX8,1HBQW,1,,,2022-02-11
GTZX8,VPIG7,,3,,2022-08-05
RNYTZ,WJRLZ,3,,,2022-04-21
SIX5R,HQSNA,,,,2022-03-20
SIX5R,4MSI6,,2,5,2022-04-26
HGKSA,CGC2X,,3,1,2022-06-21
HGKSA,TYD9O,,,,2022-07-19
HGKSA,NJN0G,1,2,,2022-08-23
CKCU9,N5X40,,3,,2022-06-29
